epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
35,0.8387999999999997,1.2663326440752725,0.001,0.828,1.3097866212095175
36,0.8579999999999999,1.262571884227703,0.001,0.816,1.327171214816977
37,0.8515999999999998,1.25765581248864,0.001,0.824,1.3055545535942683
38,0.8341333333333334,1.2730280019495062,0.001,0.83,1.3045887006196761
39,0.8609333333333328,1.2532503466497698,0.001,0.816,1.3177459549232813
40,0.8454666666666664,1.2525381730620404,0.001,0.796,1.3083969533112512
41,0.8587999999999997,1.2630442625271605,0.001,0.816,1.2932947999533764
42,0.8625333333333333,1.2594711569223052,0.001,0.792,1.3085866811519717
43,0.8597333333333335,1.2575913273943116,0.001,0.838,1.311547429140324
44,0.8655999999999999,1.257825438058081,0.001,0.81,1.3074984961364131
45,0.8672,1.2584346093013326,0.001,0.832,1.2950227718270273
46,0.8710666666666664,1.2528748099108518,0.001,0.804,1.299984700720592
47,0.8675999999999999,1.253435168074209,0.001,0.854,1.3385872692653897
48,0.8612000000000002,1.2489134657818393,0.001,0.814,1.3021318228046164
49,0.8761333333333332,1.2439972261630965,0.001,0.828,1.303256066126552
50,0.8699999999999997,1.254503298618706,0.001,0.862,1.2917041702602976
51,0.8728000000000006,1.258263045992359,0.001,0.858,1.3056489374661777
52,0.8894666666666663,1.249983341674655,0.001,0.812,1.3032153979596885
53,0.883866666666667,1.2502334688029526,0.001,0.83,1.3299908302296597
54,0.8775999999999997,1.2512342956471605,0.001,0.802,1.314349225853009
55,0.8966666666666667,1.250571174086294,0.001,0.87,1.3090257709454645
56,0.891733333333333,1.2486881084592143,0.001,0.788,1.3111976463835437
57,0.8799999999999999,1.2481226338236373,0.001,0.81,1.3110119476953839
58,0.9059999999999998,1.23779388293831,0.001,0.812,1.3187945824588283
59,0.8966666666666664,1.2430429571007053,0.001,0.85,1.2860260612084309
60,0.8942666666666668,1.2438876341018574,0.001,0.844,1.3430438491933239
61,0.912933333333333,1.240437037780138,0.001,0.83,1.3171030900803444
62,0.8970666666666667,1.2445645792853344,0.001,0.81,1.2904958005389455
63,0.9045333333333332,1.2327059945863275,0.001,0.818,1.3064135275949307
64,0.9077333333333333,1.235938571839635,0.001,0.83,1.2961523847959766
65,0.8889333333333334,1.2361213039494359,0.001,0.842,1.2882169866235544
66,0.8883999999999996,1.236209878292848,0.001,0.778,1.3144647635702105
67,0.8742666666666669,1.2356773023552756,0.001,0.834,1.2808347652916945
68,0.8963999999999998,1.241535143166193,0.001,0.852,1.3251826147180779
69,0.8978666666666668,1.2351490169845585,0.001,0.816,1.360089999915752
70,0.8913333333333326,1.2431742423844852,0.001,0.816,1.2847631656666387
71,0.9089333333333337,1.2319484548091757,0.001,0.858,1.3126815340043272
72,0.9043999999999995,1.2274825085994245,0.001,0.846,1.312981751926694
73,0.9033333333333333,1.2315259677423196,0.001,0.832,1.2944611409191813
74,0.8843999999999995,1.2366297780350535,0.001,0.856,1.279433224284358
75,0.8869333333333327,1.2341988918520348,0.001,0.846,1.3086873660561578
76,0.8953333333333332,1.241243373067247,0.0005,0.806,1.2874911769033277
77,0.8898666666666665,1.2336343261425398,0.0005,0.818,1.2773984252409287
78,0.8862666666666665,1.2365752244537869,0.0005,0.836,1.2892875348820785
79,0.8968000000000003,1.2185542755985037,0.0005,0.818,1.2759779942037892
80,0.9003999999999999,1.2262766914118084,0.0005,0.81,1.3024404409267878
81,0.9018666666666662,1.2290042685079967,0.0005,0.844,1.2794422166057995
82,0.9031999999999997,1.2195491599293815,0.0005,0.83,1.2964389245320525
83,0.9158666666666665,1.2201502385885075,0.0005,0.856,1.2812618915366245
84,0.9093333333333332,1.21938512713275,0.0005,0.786,1.290306189692331
85,0.9019999999999996,1.221069392281752,0.0005,0.824,1.2778422137979517
86,0.912933333333333,1.2143615348157548,0.0005,0.816,1.3038825216772607
87,0.902533333333333,1.2195041664759523,0.0005,0.814,1.2889001434784229
88,0.9046666666666667,1.2258989364824897,0.0005,0.832,1.2948481117659874
89,0.8902666666666665,1.2366848438485398,0.0005,0.836,1.2897423691891616
90,0.8982666666666662,1.2280499998876127,0.0005,0.83,1.2928073067256292
91,0.893333333333333,1.2314380847906619,0.0005,0.848,1.2979186962944422
92,0.8969333333333328,1.2270509377243917,0.0005,0.798,1.2886940945273047
93,0.909333333333333,1.22292785312317,0.0005,0.84,1.2794558165680012
94,0.9165333333333328,1.2214710947731091,0.0005,0.854,1.298063544719758
95,0.922666666666666,1.2103788483429527,0.0005,0.826,1.291258058847663
96,0.9012,1.2288814598305935,0.00025,0.836,1.2761708867497212
97,0.9133333333333331,1.2142953437185549,0.00025,0.81,1.2806533233443151
98,0.9030666666666662,1.2092053198729056,0.00025,0.8,1.2811765916802793
99,0.9014666666666666,1.2218564499801272,0.00025,0.878,1.258739956837723
100,0.9030666666666667,1.2129119101566697,0.00025,0.824,1.2727911273791312
